Cust_Number,Yearly_Income,Age,Cust_Spend_Score,Sex
CUSTID1,15000,18,44,0
CUSTID2,15000,18,79,0
CUSTID3,16000,23,8,1
CUSTID4,16000,25,79,1
CUSTID5,17000,32,41,1
CUSTID6,17000,25,81,1
CUSTID7,18000,34,8,1
CUSTID8,18000,26,98,1
CUSTID9,19000,66,1,0
CUSTID10,19000,33,70,1
CUSTID11,19000,69,16,0
CUSTID12,19000,34,101,1
CUSTID13,20000,56,20,1
CUSTID14,20000,21,81,1
CUSTID15,20000,37,13,0
CUSTID16,20000,20,78,0
CUSTID17,21000,36,34,1
CUSTID18,21000,18,71,0
CUSTID19,23000,51,29,0
CUSTID20,23000,33,103,1
CUSTID21,24000,36,38,0
CUSTID22,24000,22,76,0
CUSTID23,25000,44,8,1
CUSTID24,25000,31,78,0
CUSTID25,28000,51,13,1
CUSTID26,28000,29,86,0
CUSTID27,28000,45,33,1
CUSTID28,28000,33,61,0
CUSTID29,29000,42,31,1
CUSTID30,29000,22,87,1
CUSTID31,30000,61,8,0
CUSTID32,30000,22,75,1
CUSTID33,33000,53,2,0
CUSTID34,33000,20,94,0
CUSTID35,33000,52,17,1
CUSTID36,33000,24,79,1
CUSTID37,34000,40,17,1
CUSTID38,34000,30,71,1
CUSTID39,37000,38,25,1
CUSTID40,37000,18,74,1
CUSTID41,38000,65,36,1
CUSTID42,38000,21,92,0
CUSTID43,39000,50,35,0
CUSTID44,39000,30,64,1
CUSTID45,39000,52,32,1
CUSTID46,39000,27,63,1
CUSTID47,40000,50,56,1
CUSTID48,40000,28,50,1
CUSTID49,40000,30,43,1
CUSTID50,40000,28,40,1
CUSTID51,42000,50,55,1
CUSTID52,42000,35,60,0
CUSTID53,43000,31,57,1
CUSTID54,43000,62,60,0
CUSTID55,43000,48,43,1
CUSTID56,43000,48,45,0
CUSTID57,44000,51,50,1
CUSTID58,44000,72,45,0
CUSTID59,46000,30,54,1
CUSTID60,46000,55,48,0
CUSTID61,46000,73,57,0
CUSTID62,46000,20,57,0
CUSTID63,47000,64,51,1
CUSTID64,47000,55,60,1
CUSTID65,48000,63,49,0
CUSTID66,48000,17,57,0
CUSTID67,48000,44,48,1
CUSTID68,48000,69,47,1
